paamsrv.exe | Acronis Privacy Expert Suite
Avsynmgr.exe | McAfee VirusScan Synchronization Manager
vstskmgr.exe | McAfee VirusScan Task Manager
VsTskMgr.exe | McAfee VirusScan Task Manager
webscanx.exe | McAfee Web and ActiveX Scanner
WebScanX.exe | McAfee Web and ActiveX Scanner
mfewc.exe | McAfee Web Control Service
mfewch.exe | McAfee Web Control Service
McUICnt.exe | McAfee
mfeavsvc.exe | McAfee Cloud AV
ProtectedModuleHost.exe | McAfee
giantantispywaremain.exe | Microsoft AntiSpyware
giantantispywareupdater.exe | Microsoft AntiSpyware
gcasservalert.exe | Microsoft AntiSpyware Alert Process
gcascleaner.exe | Microsoft AntiSpyware Cleaner Process
gcasinstallhelper.exe | Microsoft AntiSpyware Helper Process
gcasnotice.exe | Microsoft AntiSpyware Notifier Process
gcasdtserv.exe | Microsoft AntiSpyware Server Process
gcasserv.exe | Microsoft AntiSpyware Server Process
gcasswupdater.exe | Microsoft AntiSpyware Updater Process
fcsms.exe | Microsoft Forefront Client Security Management Service 
fcsms.exe | Microsoft Forefront Client Security Management Service 
FcsMs.exe | Microsoft Forefront Client Security Management Service 
FcsMs.exe | Microsoft Forefront Client Security Management Service 
fcssas.exe | Microsoft Forefront Client Security State Assessment Service 
fcssas.exe | Microsoft Forefront Client Security State Assessment Service 
FcsSas.exe | Microsoft Forefront Client Security State Assessment Service 
FcsSas.exe | Microsoft Forefront Client Security State Assessment Service 
nissrv.exe | Microsoft Network Inspection System
DPMRA.exe | Microsoft Security Center Data Protection Manager 
DPMRA.exe | Microsoft Security Center Data Protection Manager 
msseces.exe | Microsoft Security Essentials
wscntfy.exe | Microsoft Windows Security Center | CORE_OS
wscntfy.exe | Microsoft Windows Security Center | CORE_OS
SecurityManager.exe | MSC BAM Services 
SecurityManager.exe | MSC BAM Services 
AESecurityService.exe | MS Content Management Service 
AESecurityService.exe | MS Content Management Service 
Deteqt.Agent.exe | MWR Deteqt Suite EDR
OmniAgent.exe | MWR OmniAgent
nerosvc.exe | Nero Security Service 
nerosvc.exe | Nero Security Service 
SeAnalyzerTool.exe | Netgate Spy Emergency
SpyEmergency.exe | Netgate Spy Emergency
SpyEmergencySrv.exe | Netgate Spy Emergency
NLClient.exe | Netlimiter Traffic Monitor
crdm.exe | Netsys Enterprise Security (Encryption) 
crdm.exe | Netsys Enterprise Security (Encryption) 
NMAGENT.EXE | Network Monitor Agent
egui.exe | Nod32
EHttpSrv.exe | Nod32
ekrn.exe | Nod32
nod32.exe | Nod32
nod32krn.exe | Nod32
nod32kui.exe | Nod32
NOD32view.exe | NOD32 Update Viewer
cclaw.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1
CClaw.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
elogsvc.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
nip.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Nip.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
NIP.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
nipsvc.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
njeeves.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Njeeves.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
NJeeves.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Npfmsg2.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
npfmsg.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
NPFMSG.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Npfsvice.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
nrmenctb.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
NRMENCTB.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
nvcoas.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Nvcoas.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
NVCOAS.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
nvcsched.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Nvcsched.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
NVCSched.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
nymse.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Nymse.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
zanda.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Zanda.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Zanda.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
zlh.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
Zlh.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
ZLH.exe | Norman Ad-Aware SE Plus Antivirus 1.06r1 and Firewall 1 
NORTONSECURITY.EXE | Norton Security Deluxe
ixAptSvc.exe | nProtect
ixAvSvc.exe | nProtect
ixFwSvc.exe |  nProtect
EMLPROUI.exe | Omniquad Total Security 3.0.0
EMLPROXY.exe | Omniquad Total Security 3.0.0
mpsvc.exe | Omniquad Total Security 3.0.0
ONLINENT.exe | Omniquad Total Security 3.0.0
ONLNSVC.exe | Omniquad Total Security 3.0.0
SCANMSG.exe | Omniquad Total Security 3.0.0
SCANWSCS.exe | Omniquad Total Security 3.0.0
TSAnSrf.exe | Omniquad Total Security 3.0.0
TSAtiSy.exe | Omniquad Total Security 3.0.0
TScutyNT.exe | Omniquad Total Security 3.0.0
TSmpNT.exe | Omniquad Total Security 3.0.0
UPSCHD.exe | Omniquad Total Security 3.0.0
xfilter.exe | Omniquad Total Security 3.0.0
aps.exe | Outpost Security
aus.exe | Outpost Security
outpost.exe | Outpost Security
AdminServer.exe | Panda
Avtask.exe | Panda
ClShield.exe | Panda
Console.exe | Panda
CPntSrv.exe | Panda
PadFSvr.exe | Panda
PASystemTray.exe | Panda
PavFnSvr.exe | Panda
Pavkre.exe | Panda
PavProt.exe | Panda
PavReport.exe | Panda
PNmSrv.exe | Panda
PSIMSVC.EXE | Panda
pavupg.exe | Panda AdminSecure upgrade utility
remupd.exe | Panda Agent
avengine.exe | Panda Anti-Virus
iface.exe | Panda Anti-Virus
pavfires.exe | Panda Anti-Virus
pavkre.exe | Panda Anti-Virus
pavmail.exe | Panda Anti-Virus
pavprot.exe | Panda Anti-Virus
pavprsrv.exe | Panda Anti-Virus
pavsched.exe | Panda Anti-Virus
pavsrv50.exe | Panda Anti-Virus
pavsrv51.exe | Panda Anti-Virus
pavsrv52.exe | Panda Anti-Virus
prevsrv.exe | Panda Anti-Virus
psimsvc.exe | Panda Anti-Virus
tpsrv.exe | Panda Anti-Virus
pagent.exe | Panda Enterprise
Pagent.exe | Panda Enterprise
pagentwd.exe | Panda Enterprise
Pagentwd.exe | Panda Enterprise
psctris.exe | Panda Enterprise
apvxdwin.exe | Panda Internet Security
AVENGINE.exe | Panda Internet Security
inicio.exe | Panda Internet Security
pavbckpt.exe | Panda Internet Security
PavBckPT.exe | Panda Internet Security
pavfnsvr.exe | Panda Internet Security
PAVFNSVR.exe | Panda Internet Security
pavjobs.exe | Panda Internet Security
PavPrSrv.exe | Panda Internet Security
PAVSRV51.exe | Panda Internet Security
PSANHOST.EXE | Panda Internet Security
PsCtrlS.exe | Panda Internet Security
PSHost.exe | Panda Internet Security
psimreal.exe | Panda Internet Security
psimreal.exe | Panda Internet Security
PsImSvc.exe | Panda Internet Security
pskmssvc.exe | Panda Internet Security
PSUAMAIN.EXE | Panda Internet Security
PSUASERVICE.EXE | Panda Internet Security
srvload.exe | Panda Internet Security
webproxy.exe | Panda Internet Security
WebProxy.exe | Panda Internet Security
WEBPROXY.EXE | Panda Internet Security
pnmsrv.exe | Panda Network Manager
avltmain.exe | Panda Titanium
FirewallGUI.exe | PC Tools Firewall Plus
pviewer.exe | Process Explode process viewer
pview.exe | Process Explode process viewer
pmon.exe | Process Monitor
qoeloader.exe | Qurb/CA Internet Security 2008/9 AntiSpam
Qoeloader.exe | Qurb/CA Internet Security 2008/9 AntiSpam
fws.exe | Radialpoint Security Services PCGuard 
fws.exe | Radialpoint Security Services PCGuard 
CCenter.exe | Rising
ravxp.exe | Rising
RavXP.exe | Rising
RAVXP.exe | Rising
rfwproxy.exe | Rising
rfwstub.exe | Rising
knownsvr.exe | Rising Antispyware
ras.exe | Rising Antispyware
rasupd.exe | Rising Antispyware
upfile.exe | Rising Antispyware
rstray.exe | Rising Anti-Spyware
RavAlert.exe | Rising AntiVirus
Rav.exe | Rising AntiVirus
ravmond.exe | Rising AntiVirus
RavMonD.exe | Rising AntiVirus
RAVMOND.exe | Rising AntiVirus
ravmon.exe | Rising AntiVirus
RavMon.exe | Rising AntiVirus
RavService.exe | Rising AntiVirus
ravstub.exe | Rising AntiVirus
RavStub.exe | Rising AntiVirus
RavTask.exe | Rising AntiVirus
RavTray.exe | Rising AntiVirus
RavUpdate.exe | Rising AntiVirus
RNReport.exe | Rising AntiVirus
rsnetsvr.exe | Rising Anti-Virus
scanfrm.exe | Rising Anti-Virus
rfwmain.exe | Rising Firewall
rfwsrv.exe | Rising Firewall
winlog.exe | Salfeld Personal Security Manager 
OMSLogManager.exe | Secret Net
SnHwSrv.exe | Secret Net
SnICheckAdm.exe | Secret Net
SnicheckSrv.exe | Secret Net
SnIcon.exe | Secret Net
SnSrv.exe | Secret Net
smsx.exe | Security Technology Solutions SMSexpress 
svcharge.exe | SiliVaccine Antivirus
SVCharge.exe | SiliVaccine Antivirus
svdealer.exe | SiliVaccine Antivirus
SVDealer.exe | SiliVaccine Antivirus
svframe.exe | SiliVaccine Antivirus
SVFrame.exe | SiliVaccine Antivirus
svtray.exe | SiliVaccine Antivirus
SVTray.exe | SiliVaccine Antivirus
sschk.exe | Simply Super Software Trojan Scanner
trjscan.exe | Simply Super Software Trojan Scanner
trupd.exe | Simply Super Software Trojan Scanner
SSecurityManager.exe | SIWF BAM Services 
SSecurityManager.exe | SIWF BAM Services 
DLTray.EXE | SmartLine DeviceLock
DLService.exe | SmartLine DeviceLock Service
DLTray.exe | SmartLine DeviceLock Tray Notifier
ALMon.exe | Sophos Anti-Virus
lmon.exe | Sophos Anti-Virus
SAVAdminService.exe | Sophos Anti-Virus
savservice.exe | Sophos Anti-Virus
SavService.exe | Sophos Anti-Virus
SDRSERVICE.EXE | Sophos Anti-Virus
SWC_SERVICE.EXE | Sophos Anti-Virus
sweepsrv.sys | Sophos Anti-Virus
SWI_SERVICE.EXE | Sophos Anti-Virus
swnetsup.exe | Sophos Anti-Virus
SWNETSUP.EXE | Sophos Anti-Virus
alsvc.exe | Sophos Anti-Virus AutoUpdate
ALsvc.exe | Sophos Anti-Virus AutoUpdate
ALUpdate.exe | Sophos Anti-Virus AutoUpdate
SAVMain.exe | Sophos Anti-Virus GUI is OPEN
sav32cli.exe | Sophos Anti-Virus Scanner   
CertificationManagerServiceNT.exe | Sophos Control Center
EMLibUpdateAgentNT.exe | Sophos Control Center
ManagementAgentNT.exe | Sophos Control Center
MgntSvc.exe | Sophos Control Center
RouterNT.exe | Sophos Control Center
schdsrvc.exe | Sophos Control Center
SSP.EXE | Sophos Endpoint Security
SCFManager.exe | Sophos FIREWALL
SCFService.exe | Sophos FIREWALL
SCFTray.exe | Sophos FIREWALL
op_viewer.exe | Sophos FIREWALL GUI is OPEN
sgbhp.exe | SpywareBlaster Internet Security Tool 
sgbhp.exe | SpywareBlaster Internet Security Tool 
pctsAuxs.exe | Spyware Doctor
pctsGui.exe | Spyware Doctor
pctsSvc.exe | Spyware Doctor
pctsTray.exe | Spyware Doctor
RegMech.exe | Spyware Doctor
SDTrayApp.exe | Spyware_Doctor 5 from PC Tools
svcntaux.exe | Spyware_Doctor 5 from PC Tools
swdsvc.exe | Spyware_Doctor 5 from PC Tools
swnxt.exe | Spyware Nuker
execstat.exe | StatWin
seestat.exe | StatWin
swserver.exe | StatWin Total
slee81.exe | Steganos Security Suite Component 
slee81.exe | Steganos Security Suite Component 
kpf4gui.exe | Sunbelt Personal Firewall
kpf4ss.exe | Sunbelt Personal Firewall
kpf4gui.exe | Sunbelt Personal Firewall 4
kpf4ss.exe | Sunbelt Personal Firewall 4
WrSpySetup.exe | Super WinSpy
acctmgr.exe | Symantec
AcctMgr.exe | Symantec
alertsvc.exe | Symantec
AlertSvc.exe | Symantec
ALERTSVC.EXE | Symantec
alunotify.exe | Symantec
ALUNotify.exe | Symantec
aluschedulersvc.exe | Symantec
AluSchedulerSvc.exe | Symantec
AppSvc32.exe | Symantec
ccap.exe | Symantec
CCAP.EXE | Symantec
ccapp.exe | Symantec
ccApp.exe | Symantec
ccevtmgr.exe | Symantec
ccEvtMgr.exe | Symantec
ccproxy.exe | Symantec
ccProxy.exe | Symantec
ccpxysvc.exe | Symantec
ccsetmgr.exe | Symantec
ccSetmgr.exe | Symantec
ccSetMgr.exe | Symantec
ccSvcHst.exe | Symantec
checkup.exe | Symantec
cka.exe | Symantec
comHost.exe | Symantec
cpdclnt.exe | Symantec
csinject.exe | Symantec
csinsm32.exe | Symantec
csinsmnt.exe | Symantec
dbserv.exe | Symantec
dbsrv9.exe | Symantec
defwatch.exe | Symantec
DefWatch.exe | Symantec
Defwatch | Symantec
diskmon.exe | Symantec
djsnetcn.exe | Symantec
doscan.exe | Symantec
dwhwizrd.exe | Symantec
DWHWizrd.exe | Symantec
FWCfg.exe | Symantec
ghost_2.exe | Symantec
ghosttray.exe | Symantec
icepack.exe | Symantec
IcePack.exe | Symantec
IdsInst.exe | Symantec
isPwdSvc.exe | Symantec
issvc.exe | Symantec
ISSVC.exe | Symantec
isUAC.exe | Symantec
luall.exe | Symantec
LUALL.exe | Symantec
LUALL.EXE | Symantec
lucallbackproxy.exe | Symantec
lucoms~1.exe | Symantec
lucoms.exe | Symantec
MCUI32.exe | Symantec
navapsvc.exe | Symantec
Navapsvc.exe | Symantec
NAVAPSVC.EXE | Symantec
navapw32.exe | Symantec
NAVAPW32.EXE | Symantec
NaveCtrl.exe | Symantec
NaveLog.exe | Symantec
NaveSP.exe | Symantec
NavShcom.exe | Symantec
navw32.exe | Symantec
Navw32.exe | Symantec
Navwnt.exe | Symantec
ndetect.exe | Symantec
ngctw32.exe | Symantec
ngserver.exe | Symantec
nisoptui.exe | Symantec
nisserv.exe | Symantec
nisum.exe | Symantec
nmain.exe | Symantec
npfmntor.exe | Symantec
nprotect.exe | Symantec
NPROTECT.EXE | Symantec
npscheck.exe | Symantec
npssvc.exe | Symantec
nscsrvce.exe | Symantec
nsctop.exe | Symantec
NscTop.exe | Symantec
nsmdtr.exe | Symantec
NSMdtr.exe | Symantec
olfsnt40.exe | Symantec
OLFSNT40.EXE | Symantec
opscan.exe | Symantec
poproxy.exe | Symantec
POProxy.exe | Symantec
POPROXY.EXE | Symantec
pqibrowser.exe | Symantec
PQIBrowser.exe | Symantec
pqv2isvc.exe | Symantec
pxemtftp.exe | Symantec
pxeservice.exe | Symantec
qdcsfs.exe | Symantec
qserver.exe | Symantec
ReporterSvc.exe | Symantec
rnav.exe | Symantec
rtvscan.exe | Symantec
Rtvscan.exe | Symantec
RTVscan.exe | Symantec
SAVFMSESp.exe | Symantec
savroam.exe | Symantec
SavRoam.exe | Symantec
savscan.exe | Symantec
SAVScan.exe | Symantec
SavUI.exe | Symantec
sbserv.exe | Symantec
scanexplicit.exe | Symantec
SemSvc.exe | Symantec
SescLU.exe | Symantec
SEVINST.EXE | Symantec
SmcGui.exe | Symantec
SMSECtrl.exe | Symantec
SMSELog.exe | Symantec
SMSESJM.exe | Symantec
smsesp.exe | Symantec
SMSESp.exe | Symantec
SMSESrv.exe | Symantec
SMSETask.exe | Symantec
SMSEUI.exe | Symantec
sms.exe | Symantec
sndmon.exe | Symantec
SNDMon.exe | Symantec
sndsrvc.exe | Symantec
SNDSrvc.exe | Symantec
spbbcsvc.exe | Symantec
SPBBCSvc.exe | Symantec
symlcsvc.exe | Symantec
symproxysvc.exe | Symantec
symsport.exe | Symantec
SymSPort.exe | Symantec
symtray.exe | Symantec
symwsc.exe | Symantec
sysdoc32.exe | Symantec
UcService.exe | Symantec
updtnv28.exe | Symantec
urllstck.exe | Symantec
UrlLstCk.exe | Symantec
usrprmpt.exe | Symantec
UsrPrmpt.exe | Symantec
v2iconsole.exe | Symantec
vpc32.exe | Symantec
VPC32.exe | Symantec
VPDN_LU.exe | Symantec
vprosvc.exe | Symantec
wfxctl32.exe | Symantec
WFXCTL32.EXE | Symantec
wfxmod32.exe | Symantec
WFXMOD32.EXE | Symantec
wfxsnt40.exe | Symantec
WFXSNT40.EXE | Symantec
ccSvcHst.exe | Symantec Endpoint Protection 
lucomserver.exe | Symantec LiveUpdate
SAVFMSELog.exe | Symantec Mail Security
SAVFMSESJM.exe | Symantec Mail Security
SAVFMSECTRL.exe | Symantec Mail Security 
SAVFMSECTRL.exe | Symantec Mail Security 
SAVFMSELog.exe | Symantec Mail Security 
SAVFMSESJM.exe | Symantec Mail Security 
SAVFMSESpamStatsManager.exe | Symantec Mail Security 
SAVFMSESpamStatsManager.exe | Symantec Mail Security 
SAVFMSESrv.exe | Symantec Mail Security 
SAVFMSESrv.exe | Symantec Mail Security 
SAVFMSETask.exe | Symantec Mail Security 
SAVFMSETask.exe | Symantec Mail Security 
SAVFMSEUI.exe | Symantec Mail Security 
SAVFMSEUI.exe | Symantec Mail Security 
SNAC.exe | Symantec Network Access Control
SNAC.EXE | Symantec Network Access List
smc.exe | Symantec (or possibly Sygate, check path)
SSM.exe | Symantec or Veritas Net Backup
reportsvc.exe | Symantec Reporting Service
vptray.exe | Symantec System Tray Icon
VPTray.exe | Symantec System Tray Icon
procexp.exe | Sysinternals Process Explorer
tdimon.exe | SysInternals TDI Monitor
TFun.exe | Threatfire
TFGui.exe | Threatfire GUI
TFService.exe | ThreatFire PSP
TFTray.exe | ThreatFire PSP
TIASPN~1.EXE | Traffic Inspector 2.0
Traflnsp.exe | Traffic Inspector 2.0
asupport.exe | TrendMicro
IsntSmtp.exe | TrendMicro
nSMDemf.exe | TrendMicro
nSMDmon.exe | TrendMicro
nSMDreal.exe | TrendMicro
nSMDsch.exe | TrendMicro
ofcdog.exe | TrendMicro
pccNT.exe | TrendMicro
PccNTUpd.exe | TrendMicro
pcctlcom.exe | TrendMicro
PcCtlCom.exe | TrendMicro
PcScnSrv.exe | TrendMicro
schupd.exe | TrendMicro
TmListen.exe | TrendMicro
Tmntsrv.exe | TrendMicro
tmpfw.exe | TrendMicro
TmPfw.exe | TrendMicro
tmproxy.exe | TrendMicro
tmas.exe | TrendMicro Anti-Spyware
EntityMain.exe | Trend Micro Control Manager
aphost.exe | TrendMicro Infrastructure
LWDMServer.exe | TrendMicro Infrastructure
mrf.exe | TrendMicro Infrastructure
COREFRAMEWORKHOST.EXE | Trend Micro Internet Security
CORESERVICESHELL.EXE | Trend Micro Internet Security
UISEAGNT.EXE | Trend Micro Internet Security
UIWATCHDOG.EXE | Trend Micro Internet Security
ISNTSysMonitor | TrendMicro InterScan System Monitor
CNTAoSMgr.exe | TrendMicro OfficeScan
ntrtscan.exe | TrendMicro OfficeScan
NTRtScan.exe | TrendMicro OfficeScan
ofcpfwsvc.exe | TrendMicro OfficeScan Personal Firewall
dwwin.exe | TrendMicro or DrWatson
patch.exe | TrendMicro PC-cillin
pccclient.exe | TrendMicro PC-cillin
pccguide.exe | TrendMicro PC-cillin
pcclient.exe | TrendMicro PC-cillin
pccnt.exe | TrendMicro PC-cillin
pccntmon.exe | TrendMicro PC-cillin
PccNTMon.exe | TrendMicro PC-cillin
pccntupd.exe | TrendMicro PC-cillin
pccpfw.exe | TrendMicro PC-cillin
pcscan.exe | TrendMicro PC-cillin
pntiomon.exe | TrendMicro PC-cillin
pop3pack.exe | TrendMicro PC-cillin
pop3trap.exe | TrendMicro PC-cillin
scanmailoutlook.exe | TrendMicro PC-cillin
ScanMailOutLook.exe | TrendMicro PC-cillin
smoutlookpack.exe | TrendMicro PC-cillin
smOutlookPack.exe | TrendMicro PC-cillin
tmlisten.exe | TrendMicro PC-cillin
tmntsrv.exe | TrendMicro PC-cillin
tmproxy.exe | TrendMicro PC-cillin
webtrapnt.exe | TrendMicro PC-cillin
OfcPfwSvc.exe | TrendMicro Personal Firewall
EUQMonitor.exe | TrendMicro ScanMail for Exchange
SMEX_ActiveUpda | TrendMicro ScanMail for Exchange
SMEX_Master.exe | TrendMicro ScanMail for Exchange
SMEX_RemoteConf | TrendMicro ScanMail for Exchange
SMEX_SystemWatc | TrendMicro ScanMail for Exchange
svcGenericHost | TrendMicro ScanMail for Exchange
spntsvc.exe | TrendMicro ServerProtect
SpntSvc.exe | TrendMicro ServerProtect
stopp.exe | TrendMicro ServerProtect
StOPP.exe | TrendMicro ServerProtect
stwatchdog.exe | TrendMicro ServerProtect
StWatchDog.exe | TrendMicro ServerProtect
USBGuard.exe | USB Disk Security 
USBGuard.exe | USB Disk Security 
UploadRecord.exe | USB thumb drive security 
UploadRecord.exe | USB thumb drive security 
SBAMSvc.exe | Vipre
vrvmail.exe | VRV Security Software
vrvmon.exe | VRV Security Software
vrvnet.exe | VRV Security Software
vrv.exe | VRV Security Software 
WRSA.exe | Webroot SecureAnywhere
NetworkAgent.exe | Websense Web Security / Web Filter 
NetworkAgent.exe | Websense Web Security / Web Filter 
WebsenseControlService.exe | Websense Web Security / Web Filter 
WebsenseControlService.exe | Websense Web Security / Web Filter 
mpcmdrun.exe | Windows Defender
MpCmdRun.exe | Windows Defender
MSASCui.exe | Windows Defender
MsMpEng.exe | Windows Defender
msascui.exe | Windows Defender or Microsoft Forefront (Check Registry Keys)
msmpeng.exe | Windows Defender or Microsoft Forefront (Check Registry Keys)
MsPMSPSv.exe | Windows Media Device Manager Pre-Message Security Protocol Service 
kb891711.exe | Windows Security Update 
ZavAux.exe | Zillya Antivirus
ZavCore.exe | Zillya Antivirus
zillya.exe | Zillya Antivirus
zlclient.exe | ZoneAlarm
vsmon.exe | ZoneAlarm Component
ForceField.exe | ZoneAlarm ForceField
ISWMGR.exe | ZoneAlarm ForceField
zapro.exe | ZoneAlarm IDS
zonealarm.exe | ZoneAlarm IDS
mantispm.exe | ZoneAlarm Internet Security Suite 2007
mantispm.exe | ZoneAlarm Internet Security Suite 2007
DeepStaticService.exe | Deep Instinct NGAV
DeepMgmtService.exe | Deep Instinct NGAV
DeepRPCServer | Deep Instinct NGAV
Deep UI.exe | Deep Instinct NGAV
